S. 3606,https://www.congress.gov/bill/117th-congress/senate-bill/3606,"A bill to amend title 38, United States Code, to eliminate the requirement to specify an effective period of transfer of Post-9/11 educational assistance to a dependent, and for other purposes.","Tuberville, Tommy","Blackburn, Marsha","Boozman, John","Blumenthal, Richard","Thune, John","Rubio, Marco",Armed Forces and National Security,Veterans' pensions and compensation,Military personnel and dependents,"Veterans' education, employment, rehabilitation",
S. 3600,https://www.congress.gov/bill/117th-congress/senate-bill/3600,Strengthening American Cybersecurity Act of 2022,"Peters, Gary C.","Bennet, Michael F.","Portman, Rob","Collins, Susan M.","Burr, Richard","Casey, Robert P., Jr.","Science, Technology, Communications",Government studies and investigations,Technology assessment,Public contracts and procurement,Advisory bodies
S. 3580,https://www.congress.gov/bill/117th-congress/senate-bill/3580,Ocean Shipping Reform Act of 2022,"Klobuchar, Amy","Cantwell, Maria","Wicker, Roger F.","Hoeven, John","Stabenow, Debbie","Thune, John",Transportation and Public Works,Transportation programs funding,Transportation safety and security,Transportation employees,Transportation costs
S. 3541,https://www.congress.gov/bill/117th-congress/senate-bill/3541,Health Care for Burn Pit Veterans Act,"Tester, Jon","Ossoff, Jon","Murray, Patty","Brown, Sherrod","Sanders, Bernard","Manchin, Joe, III",Armed Forces and National Security,Africa,Health information and medical records,Yemen,United Arab Emirates
S. 3527,https://www.congress.gov/bill/117th-congress/senate-bill/3527,"A bill to amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to transfer the name of property of the Department of Veterans Affairs designated by law to other property of the Department.","Tester, Jon","Daines, Steve",,,,,Armed Forces and National Security,"Government buildings, facilities, and property",Department of Veterans Affairs,Congressional oversight,
S. 3522,https://www.congress.gov/bill/117th-congress/senate-bill/3522,Ukraine Democracy Defense Lend-Lease Act of 2022,"Cornyn, John","King, Angus S., Jr.","Ernst, Joni","Cardin, Benjamin L.","Wicker, Roger F.","Shaheen, Jeanne",International Affairs,Alliances,Collective security,Computer security and identity theft,Conflicts and wars
S. 3510,https://www.congress.gov/bill/117th-congress/senate-bill/3510,Disaster Resiliency Planning Act,"Peters, Gary C.","Scott, Rick",,,,,Emergency Management,"Government buildings, facilities, and property",Emergency planning and evacuation,Congressional oversight,Natural disasters
S. 3499,https://www.congress.gov/bill/117th-congress/senate-bill/3499,"A bill to amend the Post-Katrina Emergency Management Reform Act of 2006 to repeal certain obsolete requirements, and for other purposes.","Peters, Gary C.","Portman, Rob",,,,,Emergency Management,Public contracts and procurement,Administrative law and regulatory procedures,Disaster relief and insurance,Natural disasters
S. 3470,https://www.congress.gov/bill/117th-congress/senate-bill/3470,End Human Trafficking in Government Contracts Act of 2022,"Lankford, James","Ernst, Joni",,,,,Government Operations and Politics,Public contracts and procurement,Human trafficking,Government studies and investigations,Congressional oversight
S. 3451,https://www.congress.gov/bill/117th-congress/senate-bill/3451,"A bill to include certain computer-related projects in the Federal permitting program under title XLI of the FAST Act, and for other purposes.","Hagerty, Bill","Portman, Rob","King, Angus S., Jr.",,,,Environmental Protection,Computer security and identity theft,Computers and information technology,"Environmental assessment, monitoring, research",Licensing and registrations
S. 3437,https://www.congress.gov/bill/117th-congress/senate-bill/3437,COVID-19 Bankruptcy Relief Extension Consolidation Act of 2021,"Durbin, Richard J.","Grassley, Chuck",,,,,Small business,Bankruptcy,Cardiovascular and respiratory health,Infectious and parasitic diseases,Debt collection
S. 3436,https://www.congress.gov/bill/117th-congress/senate-bill/3436,Protecting Europe's Energy Security Implementation Act,"Cruz, Ted","Johnson, Ron","Risch, James E.","Barrasso, John",,,Oil and gas,Visas and passports,User charges and fees,Russia,Sanctions
S. 3377,https://www.congress.gov/bill/117th-congress/senate-bill/3377,Capitol Police Emergency Assistance Act of 2021,"Klobuchar, Amy","Blunt, Roy","King, Angus S., Jr.","Wicker, Roger F.","Capito, Shelley Moore","Merkley, Jeff",Congressional officers and employees,Crime prevention,Congressional agencies,Congressional leadership,Congressional oversight
S. 3373,https://www.congress.gov/bill/117th-congress/senate-bill/3373,Honoring our PACT Act of 2022,"Kaine, Tim","Tester, Jon","Cortez Masto, Catherine",,,,Education,Afghanistan,Asia,Conflicts and wars,Higher education
S. 3369,https://www.congress.gov/bill/117th-congress/senate-bill/3369,Max Cleland VA Medical Center Act,"Warnock, Raphael G.","Wyden, Ron","Murray, Patty","Collins, Susan M.","Inhofe, James M.","Schumer, Charles E.",Armed Forces and National Security,Congressional tributes,Department of Veterans Affairs,Georgia,"Government buildings, facilities, and property"
S. 3309,https://www.congress.gov/bill/117th-congress/senate-bill/3309,Securing Semiconductor Supply Chains Act of 2021,"Peters, Gary C.","Blackburn, Marsha","Scott, Rick",,,,"Competitiveness, trade promotion, trade deficits",Computers and information technology,Congressional oversight,Economic development,Manufacturing
S. 3294,https://www.congress.gov/bill/117th-congress/senate-bill/3294,A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O'Connor and a statue to honor Associate Justice of the Supreme Court of the United States Ruth Bader Ginsburg.,"Klobuchar, Amy","Feinstein, Dianne","King, Angus S., Jr.","Capito, Shelley Moore","Baldwin, Tammy","Cortez Masto, Catherine",Congress,U.S. Capitol,Supreme Court,Judges,"Art, artists, authorship"
