"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"804","FRIENDS OF MIKE MCGAVERICK","WA",5000,"S6WA00248","MCGAVICK, MICHAEL SEAN","REP","L",39,"Taxes"
"805","STEELE FOR MARYLAND","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Civil Liberties"
"806","FEINSTEIN FOR SENATE","CA",5000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Gun Rights"
"807","BOUCHARD, MICHAEL J","MI",5000,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Foreign Policy"
"808","STEELE FOR MARYLAND INC","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Abortion"
"809","FRIENDS FOR MIKE MCGAVICK","WA",5000,"S6WA00248","MCGAVICK, MICHAEL SEAN","REP","L",39,"Civil Liberties"
"810","KLOBUCHAR FOR MINNESOTA","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Taxes"
"811","PEDERSON 2006","AZ",5000,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Civil Liberties"
"812","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Foreign Policy"
"813","TOM KEAN FOR US SENATE","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Foreign Policy"
"814","FRIENDS OF HILLARY","NY",5000,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Jobs"
"815","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Big Business"
"816","SNOWE FOR SENATE","ME",5000,"S4ME00055","SNOWE, OLYMPIA J","REP","W",74,"Civil Liberties"
"817","STABENOW FOR US SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Abortion"
"818","THE RDB GROUP INCORPORATED","MO",21000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Foreign Policy"
"819","PUBLIC OPINION STRATEGIES LLC","MO",9250,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Foreign Policy"
"820","NATIONAL MEDIA INC.","OH",699062,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Foreign Policy"
"821","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Jobs"
"822","STABENOW FOR U.S. SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Taxes"
"823","KAY BAILEY HUTCHISON FOR SENATE COMMITTEE","TX",5000,"S4TX00086","HUTCHISON, KAY BAILEY","REP","W",61,"Foreign Policy"
"824","STABENOW FOR US SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Foreign Policy"
"825","WHITEHOUSE '06","RI",5000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Abortion"
"826","MONTANANS FOR TESTER","MT",5000,"S6MT00162","TESTER, JON","DEM","W",49,"Taxes"
"827","MCCASKILL FOR MISSOURI","MO",5000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Civil Liberties"
