"68","C00413948","Q3","18K","PAC","AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE (AAPAC)","DC",9162022,1500,"C00107300","SA11C.10667","2022",2022,"ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC)","0"
"69","C00422774","12P","18K","PAC","THE BOEING COMPANY PAC","VA",4262022,5000,"C00142711","VTE6VYS9Q51","2022",2022,"FRONTLINE USA","0"
"70","C00692590","M7","18K","PAC","NUCOR CORPORATION POLITICAL ACTION COMMITTEE","NC",6232022,2000,"C00379628","VR08N1323AY7","2022",2022,"SUNSHINE ORGANIZATION FOR TREMENDOUS OPPORTUNITIES (SOTO PAC)","0"
"71","C00688069","Q1","24A","ORG","T-MAX","KS",3182021,1000,"P80000722","E-160871","2021",2022,"SUPPORT AMERICAN LEADERS PAC","0"
"72","C00432260","M6","24A","ORG","CLUB FOR GROWTH","DC",5052021,178,"H6WY00159","SE.7486","2021",2022,"CLUB FOR GROWTH PAC","0"
"73","C00504530","Q3","24A","ORG","OUTLAW MEDIA LLC","VA",9292022,13000,"H0MI03316","SE.452","2022",2022,"CONGRESSIONAL LEADERSHIP FUND","0"
"74","C00573261","M10","24A","ORG","MOTHERSHIP STRATEGIES","DC",9272022,144,"S0FL00338","500131730","2022",2022,"END CITIZENS UNITED","0"
"75","C00777185","Q3","24A","ORG","RIGHT AIM MEDIA LLC","FL",7182022,1125,"S2AZ00356","SE24.3332","2022",2022,"SAVING ARIZONA PAC","0"
"76","C00495028","M10","24A","ORG","THREE POINT MEDIA, LLC","MA",9232022,6500,"H0NJ07089","VN7GDAHW4R9","2022",2022,"HOUSE MAJORITY PAC","0"
"77","C00027466","M6","24A","ORG","FLEXPOINT MEDIA INC","OH",5192022,1144400,"S0GA00559","SE24.M6.007","2022",2022,"NRSC","0"
"78","C00489799","M7","24A","ORG","PLANNED PARENTHOOD ACTION FUND","NY",6242022,108,"S2GA00225","VV0P99HK0X8","2022",2022,"PLANNED PARENTHOOD VOTES","0"
"79","C00000935","M9","24A","ORG","PESCADOR PUBLIC STRATEGIES LLC LAURA VOLLUZ","TX",8312022,9979,"H2NY18087","SE-1046314","2022",2022,"DCCC","0"
"80","C00587022","Q2","24A","ORG","NEIGHBORHOOD RESEARCH AND MEDIA","NC",5242022,1050,"S2AL00202","SE.6013","2022",2022,"COURAGEOUS CONSERVATIVES PAC","0"
"81","C90021312","Q2","24A","ORG","UNITE HERE LOCAL 8","WA",4272022,668,"H2OR04103","F57.000001","2022",2022,"UNITE HERE LOCAL 8","0"
"82","C00756569","30R","24E","ORG","LYFT","CA",12292020,4,"S0GA00559","VVM8W9M1YN3","2020",2022,"WORKER POWER PAC","0"
"83","C00407262","MY","24E","ORG","WIX","CA",4052021,156,"P80000722","SE.4311","2021",2022,"DEMOCRATIC ALLIANCE FOR ACTION","0"
"84","C00620971","M2","24E","ORG","TOSKR, INC","CA",1012021,106,"P80000722","VSG8MA19Z61","2021",2022,"FOR OUR FUTURE","0"
"85","C00552851","M5","24E","PAC","HOUSE FREEDOM FUND","DC",4152021,290,"H0VA05160","E5F055BE118A14825BDD","2021",2022,"HOUSE FREEDOM FUND","0"
"86","C00756569","MY","24E","ORG","LYFT","CA",2222021,5,"S0GA00559","VVM8W9MGA96","2021",2022,"WORKER POWER PAC","0"
"87","C00504530","Q1","24E","ORG","TARGETED VICTORY LLC","VA",3312022,50000,"H2NY18087","SE24.021","2022",2022,"CONGRESSIONAL LEADERSHIP FUND","0"
"88","C00745208","YE","24E","ORG","ARMADA STRATEGIES, LLC","FL",10222021,433757,"S2OH00170","SE.4213","2021",2022,"USA FREEDOM FUND","0"
"89","C00681825","YE","24E","ORG","CLOUD DATA SERVICES","IN",7212021,612,"H0CA03078","SE-S237138","2021",2022,"LAW ENFORCEMENT FOR A SAFER AMERICA PAC","0"
"90","C00699801","YE","24E","ORG","WIRED4DATA","AZ",9082021,244,"H6FL09070","SE-S421872","2021",2022,"VETERANS AID PAC","0"
"91","C00653386","YE","24E","ORG","STANDARD DATA SERVICES LLC","OH",7142021,342,"H0WI05113","SE-S226075","2021",2022,"US VETERANS ASSISTANCE FOUNDATION, PAC","0"
"92","C00669259","YE","24E","ORG","XANDR, INC.","NY",7012021,311313,"P80000722","500116317","2021",2022,"FF PAC","0"
"93","C00523498","12P","24E","ORG","COURAGE CAMPAIGN","CA",4282022,9,"H8CA49058","VNV2QA2Y7R7","2022",2022,"COURAGE CALIFORNIA SUPER PAC","0"
"94","C00653386","Q1","24E","ORG","CLOUD DATA SERVICES","NV",1052022,349,"H0WI05113","SE-S436561","2022",2022,"US VETERANS ASSISTANCE FOUNDATION, PAC","0"
"95","C00759332","YE","24E","ORG","LAV SERVICES LLC","NV",11172021,27,"H4AR04048","SE-S432662","2021",2022,"THE DISABLED VETERANS COALITION PAC","0"
"96","C00787671","M7","24E","ORG","LAV SERVICES LLC","NV",6212022,118,"S6ME00159","SE-S937459","2022",2022,"FIREFIGHTERS COALITION OF AMERICA PAC","0"
"97","C00787671","M6","24E","ORG","WIRED4DATA","AZ",NA,402,"H4TX10093","SE-S902757","",2022,"FIREFIGHTERS COALITION OF AMERICA PAC","0"
"98","C00774323","M5","24E","ORG","EYP CONSULTANTS LLC","FL",4062022,13,"H8VA07094","SE-S789523","2022",2022,"POLICE AND TROOPER SUPPORT PAC","0"
"99","C00773390","YE","24E","ORG","EYP CONSULTANTS LLC","FL",12292021,197,"H6FL04105","SE-S435991","2021",2022,"SUPPORT AMERICA'S POLICE PAC","0"
"100","C00774323","YE","24E","ORG","LAV SERVICES LLC","NV",7142021,498,"H6FL04105","SE-S225957","2021",2022,"POLICE AND TROOPER SUPPORT PAC","0"
"101","C00795831","Q1","24E","ORG","LAV SERVICES LLC","NV",3162022,231,"H8FL15107","SE-S787618","2022",2022,"POLICE ASSISTANCE FOUNDATION PAC","0"
"102","C00671685","M7","24E","ORG","LAV SERVICES LLC","NV",6152022,141,"H8NJ04014","SE-S910185","2022",2022,"AUTISM HEAR US NOW PAC","0"
"103","C00699801","M9","24E","ORG","LAV SERVICES LLC","NV",8032022,53,"H2CA00120","SE-S1008473","2022",2022,"VETERANS AID PAC","0"
"104","C00671685","Q1","24E","ORG","WIRED4DATA","AZ",3092022,233,"H0AL07086","SE-S786460","2022",2022,"AUTISM HEAR US NOW PAC","0"
"105","C00552851","M7","24E","PAC","HOUSE FREEDOM FUND","DC",6292022,40,"H0CO03165","EA3A66BB44DBF47CD819","2022",2022,"HOUSE FREEDOM FUND","0"
"106","C00796045","M9","24E","ORG","CATAMARAN CONSUTLING","CA",8252022,22590,"H2NH01270","SE24.4","2022",2022,"TRUTH AND COURAGE PAC","0"
"107","C00552851","M9","24E","ORG","CONNELL DONATELLI","VA",8182022,1295,"H0FL13158","E5F7BF4FDADD84131A3D","2022",2022,"HOUSE FREEDOM FUND","0"
"108","C00687103","M8","24E","ORG","TARGETED VICTORY LLC","VA",7152022,700,"H2TX34113","SE24.10960","2022",2022,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION","0"
"109","C00787671","M10","24E","ORG","WIRED4DATA","AZ",9072022,50,"S6ME00159","SE-S1030163","2022",2022,"FIREFIGHTERS COALITION OF AMERICA PAC","0"
"110","C90018045","Q3","24E","ORG","THE ACTION NETWORK","DC",9072022,118,"H8MN05239","VVB0QARMGZ0","2022",2022,"UNITED WE DREAM ACTION","0"
"111","C90018904","Q3","24E","ORG","RHA MARKETING","PA",9222022,2220,"","F57-9345","2022",2022,"AMERICANS FOR CONSTITUTIONAL LIBERTY DBA THE CONSERVATIVE CAUCUS","0"
"112","C00774323","M10","24E","ORG","WIRED4DATA","AZ",9012022,700,"H8VA07094","SE-S1029891","2022",2022,"POLICE AND TROOPER SUPPORT PAC","0"
"113","C00495028","M10","24E","ORG","BULLY PULPIT INTERACTIVE LLC","DC",9022022,22277,"H8VA02111","VN7GDAHTXX7","2022",2022,"HOUSE MAJORITY PAC","0"
"114","C00653386","12G","24E","ORG","RIDGE INNOVATIVE","CA",10192022,36,"H0WI05113","SE-S1183001","2022",2022,"US VETERANS ASSISTANCE FOUNDATION, PAC","0"
"115","C00053553","M10","24E","","I360, LLC","IL",9072022,821,"H0MI08141","86218125","2022",2022,"NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND","0"
"116","C00759365","YE","24E","ORG","EYP CONSULTANTS LLC","FL",NA,5,"H8FL06148","SE-S435917","",2022,"PATRIOTS FOR POLICE PAC","0"
"117","C00172361","12P","24E","ORG","ERDMAN ADVERTISING, MARKETING & DESIGN","PA",4272022,288,"S2PA00554","SE.14538","2022",2022,"PENNSYLVANIA PRO-LIFE FEDERATION PAC","0"
"118","C00802942","12P","24E","ORG","ELLIOTT CURSON ADVERTISING","PA",4072022,33640,"S2PA00703","SE.4153","2022",2022,"FROM PA FOR PA","0"
"119","C00570416","M5","24E","ORG","BEST SELLERS LLC","MS",4292022,5000,"S2OH00436","E8D9F751E7F714321980","2022",2022,"GATORPAC","0"
"120","C00710178","Q1","24E","ORG","EYP CONSULTANTS LLC","FL",2232022,407,"S4SC00240","SE-S784785","2022",2022,"HONORING AMERICAN LAW ENFORCEMENT PAC","0"
"121","C00778084","12P","24E","ORG","THE COEFFICIENT GROUP, LLC","MO",7022022,14131,"S2MO00536","SE.4180","2022",2022,"MISSOURI FIRST ACTION, INC.","0"
"122","C00738039","Q1","24E","ORG","LYFT","CA",2172022,17,"H0TX28077","500001120","2022",2022,"MIJENTE PAC","0"
"123","C00504530","30S","24E","ORG","RUMBLEUP LLC","DC",8312022,3500,"H2CT05222","SE.063","2022",2022,"CONGRESSIONAL LEADERSHIP FUND","0"
"124","C00685982","Q1","24E","ORG","LAV SERVICES LLC","NV",3232022,42,"H6FL09070","SE-S788333","2022",2022,"UNITED VETERANS ALLIANCE OF AMERICA PAC","0"
"125","C00759332","Q1","24E","ORG","RIDGE INNOVATIVE","CA",3162022,22,"H4AR04048","SE-S787516","2022",2022,"THE DISABLED VETERANS COALITION PAC","0"
"126","C00487470","M6","24E","ORG","MEDIUM BUYING, LLC","OH",5162022,30228,"H0IL15129","SE.10214","2022",2022,"CLUB FOR GROWTH ACTION","0"
"127","C00812370","12S","24E","ORG","MUST READ ALASKA LLC","AK",7172022,1000,"H2AK01174","SE.4240","2022",2022,"ALASKANS FOR T.A.R.A. (TRUE ALASKA REPRESENTATION ALLIANCE)","0"
"128","C00745315","Q2","24E","ORG","END GAME CONSULTING","OK",5012022,15000,"H2NV01280","SE.4282","2022",2022,"LIBERTY PAC; THE","0"
"129","C00583161","Q1","24G","PTY","NRCC","DC",3312021,5993,"C00075820","SB22.I10062","2021",2022,"MAST VICTORY COMMITTEE","0"
"130","C00422881","Q1","24G","PAC","AHAPAC-AMERICAN HOSPITAL ASSOCIATION FEDERAL PAC","DC",2252021,100,"C00106146","10895080","2021",2022,"WISCONSIN HOSPITAL ASSOCIATION INC FEDERAL PAC DBA WISCONSIN HOSPITAL ASSOC FEDERAL PAC","0"
"131","C00766196","M10","24G","PTY","REPUBLICAN PARTY OF KENTUCKY","KY",9302021,95741,"C00156810","SB22.I30014","2021",2022,"TEAM RAND","0"
"132","C00568113","Q2","24G","PTY","WEST VIRGINIA REPUBLICAN PARTY, INC.","WV",6302021,10000,"C00417063","SB22.4541","2021",2022,"MOONEY VICTORY FUND","0"
"133","C00220566","MY","24G","PAC","LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC","DC",6072021,27097,"C00007922","VVARJAQSKN0","2021",2022,"NEW YORK STATE LABORERS' INTERNATIONAL UNION OF NORTH AMERICA POLITICAL ACTION COMMITTEE","0"
"134","C00766782","Q2","24G","CCM","SKARLATOS FOR OR-04 2022","MD",6292022,63275,"C00775759","B34174D3B46654ECFA8C","2022",2022,"TAKE BACK THE HOUSE 2022","0"
"135","C00577361","Q3","24G","PAC","BOOTS POLITICAL ACTION COMMITTEE","VA",9302021,35000,"C00567545","B21C945E814AE454396D","2021",2022,"MULLIN VICTORY FUND","0"
"136","C00010603","M8","24G","PTY","TEXAS DEMOCRATIC PARTY","TX",7312021,2941,"C00099267","500122301","2021",2022,"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE","0"
"137","C00010603","M10","24G","PTY","CALIFORNIA DEMOCRATIC PARTY","CA",9302021,2941,"C00105668","500125796","2021",2022,"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE","0"
"138","C00010603","M12","24G","PTY","IOWA DEMOCRATIC PARTY","IA",11302021,2941,"C00035600","500130102","2021",2022,"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE","0"
"139","C00010603","M7","24G","PTY","WVDP","WV",6252021,2500,"C00162578","500121743","2021",2022,"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE","0"
"140","C00224717","M11","24G","PTY","OAKLAND COUNTY DEMOCRATIC PARTY","MI",10122021,162,"C00040857","SB22.239966","2021",2022,"PHILIP A. HART DEMOCRATIC CLUB","0"
"141","C00714741","YE","24G","PTY","MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL","MO",12212021,30933,"C00008664","SB22.6395","2021",2022,"BLUNT VICTORY COMMITTEE","0"
"142","C00766790","YE","24G","CCM","BLUMENTHAL FOR CONNECTICUT","CT",12292021,15000,"C00492991","500202994","2021",2022,"BLUMENTHAL VICTORY FUND","0"
"143","C00630632","Q1","24G","CCM","ELISE FOR CONGRESS","NY",3112022,89860,"C00547893","SB22.6852","2022",2022,"ELISE VICTORY FUND","0"
"144","C00224717","M6","24G","PTY","OAKLAND COUNTY DEMOCRATIC PARTY","MI",5112022,367,"C00040857","SB22.265259","2022",2022,"PHILIP A. HART DEMOCRATIC CLUB","0"
"145","C00745786","M9","24G","PAC","NATIONAL DEMOCRATIC TRAINING COMMITTEE","DC",8112022,250000,"C00603084","VSFW5A2YW09","2022",2022,"DEMOCRATIC STRATEGY INSTITUTE","0"
"146","C00492421","Q3","24G","PAC","PAC TO THE FUTURE","DC",9302022,82500,"C00344234","SB22-3815","2022",2022,"NANCY PELOSI VICTORY FUND","0"
